OBJECTID,NEIGH_NO,Neighborhood Name,Neighborhood Type,Neighborhood Subtype,ACS Vinatage,Occupied Housing Units,Owner Households,Renter Households,Gross Rent as a Percentage of Household Income Less than 15.0%,Gross Rent as a Percentage of Household Income 15.0 to 19.9%,Gross Rent as a Percentage of Household Income 20.0 to 24.9%,Gross Rent as a Percentage of Household Income 25.0 to 29.9%,Gross Rent as a Percentage of Household Income 30.0 to 34.9%,Gross Rent as a Percentage of Household Income 35.0% or more,Gross Rent 30% or more of Household Income,Gross Rent as a Percentage of Household Income Not Computed,Owner housing units with a mortgage where selected monthly onwer costs as a percentage of household income can be computed,Selected Monthly Owner Costs as a Percentage of Household Income Less than 20.0%,Selected Monthly Owner Costs as a Percentage of Household Income 20.0 to 24.9%,Selected Monthly Owner Costs as a Percentage of Household Income 25.0 to 29.9%,Selected Monthly Owner Costs as a Percentage of Household Income 30.0 to 34.9%,Selected Monthly Owner Costs as a Percentage of Household Income 35.0% or more,Monthly Costs 30% or more of Household Income (owners with a mortgage),Housing units with a mortgage where selected monthly onwer costs a s a percentage of household income not computed,Renter housing units with gross rent,Gross Rent Less Than $500,Gross Rent $500-$999,"Gross Rent $1,000-$1,499","Gross Rent $1,500-$1,999","Gross Rent $2,000-$2,499","Gross Rent $2,500-$2,999","Gross Rent $3,000-$3,499","Gross Rent $3,500 or more",No cash rent,Owner housing units with a mortgage,"Owner Costs Less Than $1,000","Owner Costs $1,000-$1,499","Owner Costs $1,500-$1,999","Owner Costs $2,000-$2,499","Owner Costs $2,500-$2,999","Owner Costs $3,000-$3,499","Owner Costs $3,500-$3,999","Owner Costs $4,000 or more",Owner housing units without a mortgage,Neighborhood Type (outside comp plan areas id)
1,1,Council District 1,CD,,5Y23,48209,27781,20428,2120,2629,2929,2388,2123,7355,9478,884,21177,9655,3853,2598,1247,3778,5025,46,19793,961,687,4092,5159,3772,2568,1183,1371,635,21177,225,700,2397,2529,3747,3651,2926,5002,6604,CD
2,2,Council District 2,CD,,5Y23,43824,21520,22304,2609,2555,2600,2810,1901,8914,10815,915,14572,6440,2246,1493,1171,3188,4359,34,21623,2471,2077,4698,4503,3565,2056,1148,1105,681,14572,212,370,1700,2311,2311,2511,1916,3241,6948,CD
3,3,Council District 3,CD,,5Y23,60156,20642,39514,6330,5744,5643,3778,3564,12874,16438,1581,14356,7393,1949,1305,609,3074,3683,26,38565,1888,1381,5879,10768,8432,5304,2122,2791,949,14356,335,293,867,1469,1765,1845,1620,6162,6286,CD
4,4,Council District 4,CD,,5Y23,42569,18939,23630,2668,2964,2605,2110,1393,10694,12087,1196,12777,6945,1698,1211,797,2105,2902,21,23153,324,1067,4767,6043,5524,2007,1276,2145,477,12777,67,252,721,1165,1544,1936,1205,5887,6162,CD
5,5,Council District 5,CD,,5Y23,47887,23856,24031,2544,2672,3295,2865,2184,9632,11816,839,16927,7488,2914,1873,1172,3435,4607,45,23448,1268,955,4131,7763,4862,1970,1230,1269,583,16927,130,501,1419,2661,3083,2561,1726,4846,6929,CD
6,6,Council District 6,CD,,5Y23,50023,27442,22581,3823,3510,3289,3494,1928,5904,7832,633,20338,10037,2922,2443,1376,3486,4862,74,22108,951,412,2293,6058,4901,3112,1781,2600,473,20338,89,240,834,1958,2444,3025,2848,8900,7104,CD
7,7,Council District 7,CD,,5Y23,60719,16241,44478,9447,6980,6863,5449,3373,11317,14690,1049,11557,5468,1797,1166,1116,1802,2918,208,43958,1785,1421,4177,8605,10284,7948,4222,5516,520,11557,8,395,1134,1008,1501,1496,1219,4796,4684,CD
8,1.1,Arbor Heights,CRA,Southwest,5Y23,2693,2317,376,17,28,61,14,18,147,165,91,1688,646,390,316,69,267,336,0,316,0,0,43,77,44,85,46,21,60,1688,11,20,180,235,259,329,209,445,629,CRA
9,1.2,Fauntleroy/Seaview,CRA,Southwest,5Y23,6879,4703,2176,165,283,289,361,113,854,967,111,3756,1913,641,377,230,572,802,23,2100,80,62,570,488,241,399,136,124,76,3756,98,103,220,406,533,722,473,1201,947,CRA
10,1.3,West Seattle Junction/Genesee Hill,CRA,Southwest,5Y23,11240,5556,5684,582,908,781,748,541,1871,2412,253,4257,1828,785,559,182,903,1085,0,5475,90,0,660,2002,1139,725,329,530,209,4257,16,30,655,384,669,595,692,1216,1299,CRA
11,1.4,Alki/Admiral,CRA,Southwest,5Y23,5595,3368,2227,494,171,367,271,166,680,846,78,2265,1185,430,247,43,346,389,14,2171,30,14,570,559,558,160,7,273,56,2265,0,174,233,130,190,198,359,981,1103,CRA
12,2.1,North Delridge,CRA,Delridge Neighborhoods,5Y23,3079,1675,1404,69,276,199,70,226,458,684,106,1384,588,171,162,89,374,463,0,1338,43,80,157,326,372,226,81,53,66,1384,11,73,158,134,264,202,245,297,291,CRA
13,2.2,High Point,CRA,Delridge Neighborhoods,5Y23,3709,1802,1907,103,209,322,265,292,636,928,80,1461,630,419,143,73,187,260,9,1884,243,199,466,448,218,119,155,36,23,1461,0,64,128,209,230,470,225,135,341,CRA
14,2.3,Riverview,CRA,Delridge Neighborhoods,5Y23,1878,1445,433,41,127,42,21,8,181,189,13,1126,596,152,78,132,168,300,0,420,33,9,33,57,111,39,6,132,13,1126,34,21,83,330,253,113,115,177,319,CRA
15,2.4,Roxhill/Westwood,CRA,Delridge Neighborhoods,5Y23,5825,3506,2319,316,296,326,322,186,808,994,65,2677,1023,475,355,277,547,824,0,2254,172,60,495,552,468,251,226,30,65,2677,26,89,444,440,655,547,266,210,829,CRA
16,2.5,Highland Park,CRA,Delridge Neighborhoods,5Y23,3253,2083,1170,58,13,148,118,34,772,806,27,1541,802,195,220,107,217,324,0,1151,50,17,450,244,156,182,17,35,19,1541,8,73,157,215,380,304,220,184,542,CRA
17,3.1,South Park,CRA,Greater Duwamish,5Y23,1482,688,794,44,68,135,65,190,287,477,5,551,277,97,78,27,72,99,0,789,68,174,202,152,117,59,17,0,5,551,21,35,100,20,239,67,53,16,137,CRA
18,3.2,Georgetown,CRA,Greater Duwamish,5Y23,702,419,283,33,26,66,3,37,114,151,4,290,88,73,52,18,59,77,0,279,9,53,67,54,46,14,21,15,4,290,0,6,19,26,64,71,62,42,129,CRA
19,3.3,Duwamish/SODO,CRA,Greater Duwamish,5Y23,1628,624,1004,86,99,222,121,122,322,444,32,403,199,40,67,27,70,97,0,984,0,16,100,222,354,214,53,25,20,403,0,17,30,0,143,86,33,94,221,CRA
20,3.4,South Beacon Hill/NewHolly,CRA,Greater Duwamish,5Y23,4920,2828,2092,121,320,90,298,145,960,1105,158,1613,586,339,71,155,451,606,11,1947,346,224,441,203,450,121,145,17,145,1613,66,38,287,298,392,224,115,193,1215,CRA
